"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES"
"USC00047765","1951-07-17","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    0",",,0","    0",",,0","    0",",,0","  178",",,0","   89",",,0",,,,,"  167",",,0",,,,,,,,,,
"USC00047765","1951-07-18","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    0",",,0","    0",",,0","    0",",,0","  206",",,0","  167",",,0",,,,,"  189",",,0",,,,,,,,,,
"USC00047765","1951-07-19","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    0",",,0","    0",",,0","    0",",,0","  189",",,0","  111",",,0",,,,,"  150",",,0",,,,,,,,,,
"USC00047765","1951-07-20","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    0",",,0","    0",",,0","    0",",,0","  150",",,0","  106",",,0",,,,,"  150",",,0","    1",",,0",,,,,,,,
"USC00047765","1951-07-21","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    0",",,0","    0",",,0","    0",",,0","  150",",,0","  100",",,0",,,,,"  122",",,0","    1",",,0",,,,,,,,
"USC00047765","1951-07-22","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    0",",,0","    0",",,0","    0",",,0","  133",",,0","  100",",,0",,,,,"  122",",,0","    1",",,0",,,,,,,,
"USC00047765","1951-07-23","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    3",",,0","    0",",,0","    0",",,0","  133",",,0","  100",",,0",,,,,"  133",",,0","    1",",,0",,,,,,,,
"USC00047765","1951-07-24","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    5",",,0","    0",",,0","    0",",,0","  139",",,0",,,,,,,"  128",",,0","    1",",,0",,,,,,,,
"USC00047765","1951-07-25","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    3",",,0","    0",",,0","    0",",,0","  150",",,0","  100",",,0",,,,,"  128",",,0","    1",",,0",,,,,,,,
"USC00047765","1951-07-26","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    0",",,0","    0",",,0","    0",",,0","  150",",,0","   94",",,0",,,,,"  128",",,0","    1",",,0",,,,,,,,
"USC00047765","1951-07-27","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    3",",,0","    0",",,0","    0",",,0","  139",",,0","  100",",,0",,,,,"  128",",,0","    1",",,0",,,,,,,,
"USC00047765","1951-07-28","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    0",",,0","    0",",,0","    0",",,0","  156",",,0","  100",",,0",,,,,"  128",",,0","    1",",,0",,,,,,,,
